,ETC 1013,ETC 1023,ETC 1032,ETC 1042,ETC 1052,ETC 1062,ETC 1072,ETC 1092,ETC 1102,ETC 1112,ETC 1122,ETC 1133,ETC 1142,ETC 1153,ETC 1162,ETC 2182,ETC 2202,ETC 2212,ETC 3221,ETC 3241,ETC 3252,ETC 4262,ETC 4271,ETG 2013,ETG 2022,ETG 2033,ETG 2042,ETG 2052,ETG 2062,ETG 2072,ETG 2082,ETG 2092,ETG 2102,ETG 2112,ETG 2123,ETG 2132,ETG 2141,ETG 3152,ETG 3162,ETG 3173,ETG 3182,ETG 3192,ETG 3202,ETG 3256,ETG 4213,ETG 4222,ETG 4232,ETG 4241,ETG 4266,ETG 4271,ETG 4281,ETG 4291,ETG 4302,ETG 4312,,,,,,,,,
EGT/19/410,C+,B-,C,B-,B-,B,B+,C,C,B-,C+,B-,B-,B-,B,C-,C-,B-,B,A-,B+,B,B,E(CA & ESA),B,B,C,C-,B+,E(CA),B+,E(CA),C,B+,B-,B+,C,A-,A,B,B+,A,B,B-,B-,B-,A-,A-,E(CA & ESA),B-,C+,B,A-,B+,,,,,,,,,
EGT/19/416,C,B-,C,B,C,A,B+,C+,C,B,B,C,B-,B,B+,C,D+,C,B-,B-,B-,E(CA) & AB(ESA),E(CA) & AB(ESA),D+,B+,A-,B,C+,B,C+,A-,E(CA & ESA),E(ESA),C+,D,B-,E(CA),B-,B+,D,B+,C+,C+,B-,E(CA) & AB(ESA),E(ESA),AB(ESA),E(CA) & AB(ESA),E(CA & ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),,,,,,,,,
EGT/19/434,C,C,C-,B-,B-,C,B-,C,C,C,C,C,C,C,C,C,C-,B+,B,B,B,B,C+,C,A-,B+,C+,B-,A+,A,A,D,C,A-,B+,A-,A,A-,A,A,B+,B+,A+,A,A,B,A,A-,A+,A-,B+,B,A+,A,,,,,,,,,
EGT/19/453,C+,A-,B-,B,B+,C,C,A-,A-,C,B+,A,A-,B+,B+,C,C-,B+,B-,B+,B,B,B+,D,B+,A-,C+,C-,B-,C,A+,D+,C-,C+,C-,A-,B+,B+,A,C,B,B-,B+,A-,C+,C+,A-,A+,A-,A-,B,A,A-,A,,,,,,,,,
EGT/19/466,B+,B,C,B-,C+,A+,A,A,B,A-,A-,A,B-,B,A-,B,C-,B-,A-,A-,B,B+,A-,E(ESA),A+,B+,B+,C-,B,E(CA & ESA),B,C,E(ESA),C+,C+,B,C,A-,A+,D,A,C+,B,A-,B-,B-,B+,A,A,A-,B+,B,A-,B-,,,,,,,,,
EGT/19/467,B+,A+,C+,AB(ESA),A-,E(CA),B-,A,A-,E(CA),B,A+,B+,E(CA),E(CA),E(CA) & AB(ESA),AB(CA & ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),AB(ESA),E(CA) & AB(ESA),AB(CA & ESA),AB(CA & ESA),AB(CA & ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),AB(CA & ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA),E(CA) & AB(ESA),AB(ESA),E(CA) & AB(ESA),E(CA & ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA & ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),E(CA) & AB(ESA),,,,,,,,,
EGT/19/486,B+,A-,C+,B+,B,A,A-,A-,B,A-,A-,A+,B+,B,B+,C,A-,B,B+,A+,B+,A-,A-,C+,A+,A,B-,C,A-,C,A-,D+,C+,B-,C+,A,B+,A-,A+,B-,A+,A-,B+,A+,B+,A,A-,A+,A+,B+,B+,A+,A+,B+,,,,,,,,,
EGT/19/537,B+,B+,B+,B,B+,A+,A-,A+,A+,A-,A+,A-,A-,B,A-,A,B,B-,B-,B+,B+,B+,B,B,A-,A+,B,A+,A+,A+,A+,C,B,A-,A,B+,A-,A-,A,B-,A-,A-,A+,B+,A-,A-,B,A,A,A-,B-,A+,A+,A,,,,,,,,,
